,Tweets
84,"RT @Chrissuccess: #TheGrayMan 

Ryan Gosling, Chris Evans, Dhanush, Ana de Armas.

Premiers July 22 on NETFLIX. https://t.co/r9vla34iOI"
85,"RT @vickyandbunny: Anyways. Rejected by Netflix. My works are great, and I make beautiful films. Their loss. I am just gonna keep working h…"
86,RT @PopCrave: #Heartstopper becomes one of Netflix’s most critically-acclaimed shows ever with a score of 100% on @RottenTomatoes. https://…
87,RT @hodgetwins: So is it ok for me to say Only women can get pregnant. Someone tell Netflix https://t.co/y4UveeeHyZ
88,"RT @EnockVinoth: Get Ready Kollywood Kids They Are Coming 😎

@dhanushkraja @RyanGosling @ChrisEvans @regejean 

July 22nd 💯 @netflix 🔥 http…"
89,"RT @MichKatami: Here is @dhanushkraja first look for #TheGrayMan. The movie will be out on July 22 on Netflix, 17th July in theatres. @AGBO…"
90,RT @jaymo_ke: With all durexpect let's Netflix and chill.😌
91,"RT @vickyandbunny: Anyways. Rejected by Netflix. My works are great, and I make beautiful films. Their loss. I am just gonna keep working h…"
92,"RT @CultureCrave: First look at the Russo Bros' #TheGrayMan for Netflix

The film has a $200M budget and the goal is to launch a James Bond…"
93,"RT @INA99thBrigade: Leave it to GoI to fund a sinking US company with over taxed Indian tax payer money to bail it out.

This is the same H…"
94,RT @IGN: Netflix reportedly plans to offer close to 50 games as part of its subscription by the end of the year. https://t.co/mmvdqf39hq ht…
95,"RT @IngrahamAngle: Netflix losing subscribers.
CNN+ shuts down.
Disney stock value dropping.
Twitter takeover by Musk.

Just the beginning?"
96,"RT @MichKatami: Here is @dhanushkraja first look for #TheGrayMan. The movie will be out on July 22 on Netflix, 17th July in theatres. @AGBO…"
97,"RT @PopBase: ‘Heartstopper’ is officially one of Netflix’s most critically-acclaimed shows ever, with a perfect score of 100% on Rotten Tom…"
98,"RT @nandha_reports: waiting thalaiva..@dhanushkraja  

#TheGrayMan #Dhanush #dhanushkraja  #Netflix https://t.co/P0hw5ol0jW"
99,WEY CHRIS Y REGÉ-JEAN VAN A SALIR JUNTOS EN UNA PELI https://t.co/jZZ6ZzZ46q
100,"RT @cheeks4042: Akka : Netflix lo Gangubhai ki English subtitles lev entra

Me : Aithey hindi nerchuko

Also Me : Eroju Meghanas lo  biryan…"
101,RT @AngieCoss2002: Pikachu I choose you! Come to my crib so we can watch Netflix or Pokémon 🍑 https://t.co/g5tObvZkpr
102,RT @PopCrave: #Heartstopper becomes one of Netflix’s most critically-acclaimed shows ever with a score of 100% on @RottenTomatoes. https://…
103,RT @shelbyverse: so @netflix what about heartstopper pictures for our netflix accounts
104,"RT @netflix: The fans are ready. Are you? Ozark, the final episodes, streaming this Friday. https://t.co/DVaWE6vrHa"
105,"RT @netflix: The fans are ready. Are you? Ozark, the final episodes, streaming this Friday. https://t.co/DVaWE6vrHa"
106,RT @PopCrave: #Heartstopper becomes one of Netflix’s most critically-acclaimed shows ever with a score of 100% on @RottenTomatoes. https://…
107,RT @PopCrave: #Heartstopper becomes one of Netflix’s most critically-acclaimed shows ever with a score of 100% on @RottenTomatoes. https://…
108,"@RayForsyth85 @FattusPrickus @ChicksRule Worst Roommate Ever on Netflix talked about her many crimes recently, not sure if she's been on anything else"
109,RT @dhanushkraja: The gray man  #TheGrayMan @NetflixFilm July 22nd on Netflix @Russo_Brothers https://t.co/yAXte77C2G
110,RT @kit_connor: Here we go
111,"RT @H2Omelonsugar3: Wanna Netflix and chill? 🍆

RT if yes! https://t.co/W4KI3pOHNz"
112,"RT @netflix: Romantic gestures on a sports fields just hit different

📺 Heartstopper 
📽️ To All The Boys... https://t.co/1cskoi77X9"
113,"RT @hemanth_javvadi: STREAMING ALERT: #RadheShyam 💞 #Hindi Will Be Available On #Netflix @NetflixIndia From May 3rd!!

#Prabhas #LovePrabha…"
114,RT @Angelo4justice3: 🇷🇺🇺🇦🇹🇷Ukrainian security forces remaining at Azovstal do not trust Kiev and ask for evacuation to Turkey - DPR head De…
115,RT @rosealinaof: Te paso a buscar y vemos Pokémon en Netflix? 😈😍 RT https://t.co/TWHhIwYnhI
116,"RT @vamsikaka: The First Look of @dhanushkraja from @NetflixFilm's #TheGrayMan Directed by @Russo_Brothers Releases on Netflix, July 22nd h…"
117,"RT @Reuters: After Netflix fell 35% in one day last week, investors are wondering if the credits are rolling on media stocks. Adam Coons of…"
118,RT @dhanushkraja: The gray man  #TheGrayMan @NetflixFilm July 22nd on Netflix @Russo_Brothers https://t.co/yAXte77C2G
119,RT @PopCrave: #Heartstopper becomes one of Netflix’s most critically-acclaimed shows ever with a score of 100% on @RottenTomatoes. https://…
120,RT @netflix: It’s Ryan Gosling vs. Chris Evans in The Gray Man — FIRST LOOK: https://t.co/YWxFRJW62D
121,RT @PopCrave: #Heartstopper becomes one of Netflix’s most critically-acclaimed shows ever with a score of 100% on @RottenTomatoes. https://…
122,"RT @MichKatami: Here is @dhanushkraja first look for #TheGrayMan. The movie will be out on July 22 on Netflix, 17th July in theatres. @AGBO…"
123,"I tried something new today. I tried to implement GraphQL API using Netflix's domain graph service(DGS).
But yes, using schema-first approach. 

Please have a look &amp; share your thoughts/feedback, 

https://t.co/FEAdSDbG1K

#springboot #GraphQL #Netflix #OpenSource #cloudcomputing"
124,"RT @kwinroselyn: Looking for a boyfriend that loves anime, Pokémon &amp; Netflix👅🍑 https://t.co/8UPeUyqu0n"
125,"@tonygoldmark I never supported boycotts of companies like Netflix or Twitter. I'd love to see the bigots purged from these platforms but, if that's not going to happen, the next best thing we can do is oppose their content with our own. We shouldn't be surrendering these battlefields."
126,"If You Think Netflix Was Bad, Watch Out For These 300 Stocks https://t.co/HMW8c8RNOp"
127,"RT @KISSmaniacz: @Pagmenzies @sunlorrie Not if @elonmusk, @Twitter, @Google, @YouTube, @Microsoft, @Pinterest, @instagram, @Facebook, @Meta…"
128,Grace and Frankie | A Farewell to 7 Seasons with Jane Fonda and Lily Tomlin | Netflix https://t.co/RJWUfqJXIv #Movie #Video #Trailer #VOD #Netflix
129,"RT @PopBase: ‘Heartstopper’ is officially one of Netflix’s most critically-acclaimed shows ever, with a perfect score of 100% on Rotten Tom…"
130,"RT @schonheit1385: Although HyoJeong already spotted filming their new kdramas, #BusinessProposal still at Top10 in 24 countries up to date…"
131,RT @PopCrave: #Heartstopper becomes one of Netflix’s most critically-acclaimed shows ever with a score of 100% on @RottenTomatoes. https://…
132,"RT @MichKatami: Here is @dhanushkraja first look for #TheGrayMan. The movie will be out on July 22 on Netflix, 17th July in theatres. @AGBO…"
133,"RT @snyder_all: Since exposing WB's management,

- Ray Fisher was in a project produced by Jay Z and Will Smith

- Will star in Netflix big…"
134,RT @PopCrave: #Heartstopper becomes one of Netflix’s most critically-acclaimed shows ever with a score of 100% on @RottenTomatoes. https://…
135,"RT @Udanshi27: Work, flex, save, sleep, eat, Netflix and chill.

Soft life."
136,@netflix this is a horrendous idea
137,"I know that a lot of people are already dancing on Netflix's grave (and fair enough tbh), but I have to say that they made/distributed some of my absolute favourite animations of recent years, and I'll be beyond sad not to see what would have come next"
138,RT @dhanushkraja: The gray man  #TheGrayMan @NetflixFilm July 22nd on Netflix @Russo_Brothers https://t.co/yAXte77C2G
139,"RT @nandha_reports: waiting thalaiva..@dhanushkraja  

#TheGrayMan #Dhanush #dhanushkraja  #Netflix https://t.co/P0hw5ol0jW"
140,RT @Budin_chigurh: Así te roban en Netflix
141,RT @netflix: It’s Ryan Gosling vs. Chris Evans in The Gray Man — FIRST LOOK: https://t.co/YWxFRJW62D
142,"RT @KaiZenKDP: Netflix: *heavily increases subscription price*

Users: *unsubscribe*

Netflix: ""Ah I see, it was animation that was the pro…"
143,RT @rosealinaof: Te paso a buscar y vemos Pokémon en Netflix? 😈😍 RT https://t.co/TWHhIwYnhI
144,"RT @Trendswoodcom: #TheGrayMan First Look Of DHANUSH 🔥

Premiere On July 22nd On Netflix https://t.co/RUPCXqvper"
145,RT @hodgetwins: So is it ok for me to say Only women can get pregnant. Someone tell Netflix https://t.co/y4UveeeHyZ
146,RT @dhanushkraja: The gray man  #TheGrayMan @NetflixFilm July 22nd on Netflix @Russo_Brothers https://t.co/yAXte77C2G
147,RT @PopCrave: #Heartstopper becomes one of Netflix’s most critically-acclaimed shows ever with a score of 100% on @RottenTomatoes. https://…
148,RT @Carnage4Life: Netflix and Shopify are both down by two thirds of their value so far this year. There are shitcoins that are outperformi…
149,RT @PopCrave: #Heartstopper becomes one of Netflix’s most critically-acclaimed shows ever with a score of 100% on @RottenTomatoes. https://…
150,"RT @PopBase: ‘Heartstopper’ is officially one of Netflix’s most critically-acclaimed shows ever, with a perfect score of 100% on Rotten Tom…"
151,RT @siya6888: @NtuliPitika Netflix put out almost a billion rands in funding to production companies in 🇿🇦 to produce content yet none are…
152,"RT @vamsikaka: The First Look of @dhanushkraja from @NetflixFilm's #TheGrayMan Directed by @Russo_Brothers Releases on Netflix, July 22nd h…"
153,RT @dhanushkraja: The gray man  #TheGrayMan @NetflixFilm July 22nd on Netflix @Russo_Brothers https://t.co/yAXte77C2G
154,"RT @UrsVamsiShekar: Here's The First Look of @dhanushkraja from @NetflixFilm's #TheGrayMan 💥

Directed by @Russo_Brothers,
Releasing on Net…"
155,@310Ventures @JackPosobiec The Return of Talcum X. Streaming now on Netflix
156,"RT @VenghaiMohan: International actor @dhanushkraja star ..

The gray man  #TheGrayMan @NetflixFilm July 22nd on Netflix @Russo_Brothers ht…"
157,RT @hodgetwins: So is it ok for me to say Only women can get pregnant. Someone tell Netflix https://t.co/y4UveeeHyZ
158,RT @HanuNewws: #RadheShyam (Hindi) set to stream on #Netflix from 3rd may. https://t.co/ceuiWLayZP
159,"RT @all_F808Z: I need your help, Twitter.
I'm tryna get in on this new Avatar show on @netflix! Help ya boi be seen by the right ppl 👌🏾🙏🏾…"
160,"RT @LetsOTT: Official: ‘Stranger Things 4’ reportedly costed $270 million for Netflix. 

It is the costliest show till date which is also h…"
161,Thank you @Netflix_INSouth for dubbing #Gangubaikathiawadi in Telugu! 🙏🏻🤍✨
162,"RT @vickyandbunny: Anyways. Rejected by Netflix. My works are great, and I make beautiful films. Their loss. I am just gonna keep working h…"
163,"RT @PopBase: ‘Heartstopper’ is officially one of Netflix’s most critically-acclaimed shows ever, with a perfect score of 100% on Rotten Tom…"
164,RT @PopCrave: #Heartstopper becomes one of Netflix’s most critically-acclaimed shows ever with a score of 100% on @RottenTomatoes. https://…
165,RT @PopCrave: #Heartstopper becomes one of Netflix’s most critically-acclaimed shows ever with a score of 100% on @RottenTomatoes. https://…
166,"Hi @netflix! It's the perfect time to announce that you're going to #SaveProdigalSon for another season! You'll have global fans singing your praises for saving this brilliant show. Hugs &amp; kisses, Hatters #ABridgeTooFar https://t.co/Hf6NnwJihu"
167,"RT @BingedHelps: #StreamingUpdate

....and here is the first look of superstar #Dhanush straight outta #TheGrayMan!! 🔥🔥

@dhanushkraja @Net…"
168,"RT @TheGeekOficial: Ryan Gosling, Chris Evans, Ana De Armas e Regé-Jean Page nas primeiras imagens de ""The Grey Man"", novo filme da Netflix…"
169,RT @PopCrave: #Heartstopper becomes one of Netflix’s most critically-acclaimed shows ever with a score of 100% on @RottenTomatoes. https://…
170,RT @MischevousKat: 5 minutes into anime Netflix and chill 😎 https://t.co/4es8sGJLoa
171,RT @jaymo_ke: With all durexpect let's Netflix and chill.😌
172,RT @BbHaleem: Who wants to watch an anime movie on Netflix with me? 😇 https://t.co/zVY4BvoKkt
173,"RT @FilmUpdates: Netflix’s ‘HEARTSTOPPER’ is now officially certified fresh on Rotten Tomatoes with a score of 100%

(https://t.co/kqgLxR0J…"
174,"RT @PopBase: ‘Heartstopper’ is officially one of Netflix’s most critically-acclaimed shows ever, with a perfect score of 100% on Rotten Tom…"
175,"RT @IngrahamAngle: Netflix losing subscribers.
CNN+ shuts down.
Disney stock value dropping.
Twitter takeover by Musk.

Just the beginning?"
176,"RT @Udanshi27: Work, flex, save, sleep, eat, Netflix and chill.

Soft life."
177,"@ebternal ✨Premium Apps✨

҂ AMAN,LEGAL,TERPERCAYA 100%
҂ GARANSI
҂ Order? DM
҂ WA for fast respon : 
(https://t.co/9loBXqRzwQ)
҂ Testi :
(https://t.co/EueTa0VryJ)

t. jual netflix murah spotify viu we tv
Disney+ iqiyi trusted canva inplan https://t.co/0bvQ0AHx5H"
178,RT @dhanushkraja: The gray man  #TheGrayMan @NetflixFilm July 22nd on Netflix @Russo_Brothers https://t.co/yAXte77C2G
179,"RT @vickyandbunny: Anyways. Rejected by Netflix. My works are great, and I make beautiful films. Their loss. I am just gonna keep working h…"
180,I wish Netflix wouldn’t do that 1 ep a week crap with certain series. Let us plough through it in 2 days if that’s what we wanna do
181,"Viola Davis is such a great actress because she draws from her own experiences to get that pain, hurt and tears to manifest in her characters. Watching Oprah interview her on Netflix. I want Viola's book. Such an amazing woman who came from extreme poverty. https://t.co/XtdhS39LaK"
182,@highsaditysi It's a good show on Netflix about vampires but I swear it's good Dylan pmo 😂💀
183,RT @tinyaled: kit talking about how heartstopper felt like their own little show despite being a big netflix production because it all felt…
184,"RT @MorroneBrasil: 📸 | Mr Massimo Torricelli 🖤🔥

#MicheleMorrone #365daysThisDay #365days #Netflix https://t.co/Lzz1ZtYtYW"
185,RT @NaughtyBunzXxX: Te paso a buscar y vemos Pokémon en Netflix? 😈😍 RT https://t.co/KaJIpyixfo
186,@milchschnitte28 @Solyssey @K333666Aegon @TheeMockingjqy @IGN I don’t have a problem with other services just Netflix so fair enough
187,"RT @MichKatami: Here is @dhanushkraja first look for #TheGrayMan. The movie will be out on July 22 on Netflix, 17th July in theatres. @AGBO…"
188,"RT @NetflixIndia: *Takes a deep breath*
RYAN GOSLING 💥 CHRIS EVANS 💥 ANA DE ARMAS 💥 DHANUSH 💥 REGÉ-JEAN PAGE 💥  
THE GRAY MAN - directed by…"
189,"RT @GOGPodcast: EP 550, In the News: @uber, @lyft go #maskoff; web scraping is legal; @instagram enables product tagging for everyone; @app…"
190,"Okay so, I binged on Heartstopper on #Netflix. From the credits, I found out it’s based on a graphic novel. 

I don’t read any graphic novels, it’s been in my to-do list forever. I need recommendations that have heartstopper vibes please. 

I love #romance."
191,"RT @KaiZenKDP: Netflix: *heavily increases subscription price*

Users: *unsubscribe*

Netflix: ""Ah I see, it was animation that was the pro…"
192,@PopBase @kit_connor @joelocke03 Netflix about to cancel it lol they hate good shows
193,"@dustvictory @muthuwu @NetflixIndia @Netflix_INSouth Don't you think Karnan had a major ""ott to theatre"" transition kinda fever to it...like back to theatres for a film maari people went. Again no debate on his performance or the film, And lets talk about recent past. He's had JT and Maaran, ott or not, disastrous reception"
194,"@Pagmenzies @sunlorrie Not if @elonmusk, @Twitter, @Google, @YouTube, @Microsoft, @Pinterest, @instagram, @Facebook, @Meta, @Spotify, @netflix, @Rogers, @EdwardSRogers, @Bell, @TELUS, @cogeco &amp; @Quebecor have anything to say about it. @CRTCeng @liberal_party @JustinTrudeau @CdnHeritage @pablorodriguez"
195,"RT @RubinReport: What an insane tweet by Jeff Bezos who owns the propaganda outlet know as Washington Post, as well as Amazon, which sells…"
196,"need netflix 3bln!!
aing gabut!"
197,RT @PopCrave: #Heartstopper becomes one of Netflix’s most critically-acclaimed shows ever with a score of 100% on @RottenTomatoes. https://…
198,Hey @netflix please make this animated series with @eddiepepitone and I https://t.co/w1nmdLq9aj
199,RT @dhanushkraja: The gray man  #TheGrayMan @NetflixFilm July 22nd on Netflix @Russo_Brothers https://t.co/yAXte77C2G
200,RT @hodgetwins: So is it ok for me to say Only women can get pregnant. Someone tell Netflix https://t.co/y4UveeeHyZ
201,"RT @iammoviebuff007: #TheGrayMan - First look of #Dhanush &amp; @ChrisEvans 👌🌟

Film to stream from July 22 on @netflix 

@dhanushkraja 👌🤝 http…"
202,"RT @vickyandbunny: Anyways. Rejected by Netflix. My works are great, and I make beautiful films. Their loss. I am just gonna keep working h…"
203,"RT @vickyandbunny: Anyways. Rejected by Netflix. My works are great, and I make beautiful films. Their loss. I am just gonna keep working h…"
204,"@Treasure2471 Friend woza shiya phantsi Netflix,do you know this young girlie @WandileFumene  😂😂😂"
205,Omg. Seriously??? Hahahahaha!!!! And Netflix stock prices represent this dumbassedness lol. Fact check folks. Men CANNOT get pregnant. Jeez. https://t.co/HxiQ90OjCi
206,This looks gorgeous!! You reject contents like this &amp; proceeds to make dumb shit nobody asked like 365 Days Part 2 @netflix @NetflixGeeked ? Seriously? Please invest in brilliant ideas &amp; contents. https://t.co/1tFJE3HSGE
207,RT @chatterboxnat: Guys they canceled the show. Call out @netflix @strongblacklead for making false promises and giving up on a black super…
